Comment Number,Comment Content,Processed comments
127,Let&#39;s go Brandon!!! 😂😂😂<br>I come from Poland and I thought we were screwed.<br>Read the cement is the best i can do today 😅,let u go brandon come poland thought screwedread cement best today
128,Australia offers,australia offer
129,😡😡😡😡get him Trump !!!!!!! New York City stand up,get trump new york city stand
130,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1294"">21:34</a> Trump won the Debate from my perspective<br>😂😂😂😂😂",trump debate perspective
131,Watching two guys on the verge of their deathbed.. this is a comedy. Fall of our government began in last election and will continue with this election,watching two guy verge deathbed comedy fall government began last election continue election
132,Haven’t even watched it yet and I’m waiting to find out what YouTube edited out,not even watched yet waiting find youtube edited
133,This debate has me stresssed 😩,debate stresssed
134,Biden should retire and do asmr<br>Trump just need to stop trying,biden retire asmrtrump need stop trying
135,They are so ooold...,ooold
136,&quot;There is no studio audience tonight&quot;<br><br>Biden walks out and starts waving and saying &quot;Hello&quot; to the Non Existent Audience.,studio audience tonightbiden walk start waving saying hello non existent audience
137,They raised my house taxes by three times.,raised house tax three time
138,If I had to choose I would vote trump,choose would vote trump
139,Joe “The Idea” Biden,joe idea biden
140,I can see the passion in Trump and how he speaks. His very soul is furious and for a REASON.,see passion trump speaks soul furious reason
141,Titan is dumping garbage on us in the skies. The snow is not snow. It&#39;s pellets of some kind of plastic. The They create in the storms they create with their mission. They&#39;ve got running. it&#39;s horrible.,titan dumping garbage u sky snow not snow pellet kind plastic create storm create mission got running horrible
142,joey is dust,joey dust
143,The Democrats hired midnight guys to pull along and start wildfires. You can see the. videos on Youtube people posted it. They saw it democratic people. are paid to start wildfires.,democrat hired midnight guy pull along start wildfire see video youtube people posted saw democratic people paid start wildfire
144,"don&#39;t tell me I&#39;m the only one hearing that or my ears are failing me <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4583"">1:16:23</a>",not tell one hearing ear failing
145,"No me imagino escuchar a trump otros 4 años, primero que vaya a cumplir sus escandalos como ciudadano, este hombre es el peor , racista, no queremos esto!!!!",imagino escuchar trump otros ano primero que vaya cumplir sus escandalos como ciudadano este hombre e el peor racista queremos esto
146,Only a Real American can Save America.,real american save america
147,We are all cooked.,cooked
148,any other options?,option
149,Take a shot every time Biden says “number 1”,take shot every time biden say number
150,"The tax credit that he&#39;s talking about, they took it from the seller, they took. it took it from the amount the seller got. He didn&#39;t pay nothing. They didn&#39;t give nothing. My daughter sold her house. Two new buyers. And they took $11,000 of her money out of her asking price.",tax credit talking took seller took took amount seller got not pay nothing not give nothing daughter sold house two new buyer took money asking price
151,If Biden was X-MAN his super power would be: no one could understand him nevermind how long he speaks.,biden xman super power would one could understand nevermind long speaks
