Comment Number,Comment Content,Processed comments
33,Joes is beating a dead horse with all the lies .,joes beating dead horse lie
34,Engko kesel lokk trump😮,engko kesel lokk trump
35,Yo gedi q mosok mortir damai klendi tp❤,yo gedi q mosok mortir damai klendi tp
37,GO CHIEFS!!!!!!!!!,go chief
38,"Coming and live in Australia....<br>We have the Highest House Prices in the World, Sydney Australia is the Second Most Expensive City in the World Today....<br>So Dont Bother Coming Here for a Holiday  your Wasting your Money",coming live australiawe highest house price world sydney australia second expensive city world todayso bother coming holiday wasting money
39,Biden talks like who is lifeless! He hasn&#39;t got a clue. He&#39;s not fit to run,biden talk lifeless got clue fit run
40,The best part was when trump says &quot;I really dont know what he was saying in the end&quot; 😂😂😂,best part trump say really know saying end
41,"Nice work. Do your homework on Dave, he’s a legit conservative. Tulsi is also great.",nice work homework dave legit conservative tulsi also great
42,Biden is old change trump next president again,biden old change trump next president
43,So who will u vote? Is it Biden or Trump?,vote biden trump
44,I think the debate questions shouldnt ve given beforehand..,think debate question given beforehand
45,I want to win trump he is true America near to world 3,want win trump true america near world
46,Two clowns,two clown
47,These guys are the aliens from the Simpsons,guy alien simpson
48,I THINK OUR ECONOMY WWW GREAT WHEN TRUMP WAS IN OFFICE TRUMP 2024,think economy www great trump office trump
49,The only thing more embarrassing than this debate is the fact that there are now people who were very vocal about never ever voting for trump who will now give him their vote. <br>Imagine being that much of a screw up that you turn people towards the person they vowed never to back 🤦🏼‍♀️🤣,thing embarrassing debate fact people vocal never ever voting trump give vote imagine much screw turn people towards person vowed never back
50,I hate that they&#39;re not answering the questions,hate answering question
51,These 2 old men should retire from politics.,old men retire politics
52,This. For.  Biden.   My.  @.   shadowens.   Scott.  Live. Trump.  him.   along.   am. In.  Moing.    Care.   V.  Scott.  Vote.    For.   Trump,biden shadowens scott live trump along moing care v scott vote trump
53,Elder Residents: Shadow of the White House.<br>It&#39;s what this nightmare is.,elder resident shadow white houseit nightmare
54,God i hope Trump can turn this country back to where we need to be before 2028.  VOTE FOR TRUMP 2024 !,god hope trump turn country back need vote trump
55,I swear Trump didn&#39;t need to prepare.  Joe handed him the entire debate,swear trump need prepare joe handed entire debate
56,You trvyhe fill o the pesitt😊,trvyhe fill pesitt
57,I already knew to vote for Trump. But now it&#39;s very obvious.<br>Biden just lies about what &#39;they are gonna do&#39; while Trump tells it how it really is.,already knew vote trump obviousbiden lie going trump tell really
58,“There’s motion between us” 💸💎🥶,motion u
59,"Trump is the man we all need, biden has destroyed this great country.... The world needs Trump",trump man need biden destroyed great country world need trump
60,"On the survey Trump was 43 rd out of 45 from worst to best. Joe has problems with communication but the survey claims he&#39;s actually doing something for the country compared to Trump. Yeah right, replace Obamas spot with Trump, Trumps spot with Biden and Biden&#39;s spot with Obama",survey trump rd worst best joe problem communication survey claim actually something country compared trump yeah right replace obamas spot trump trump spot biden bidens spot obama
61,I skibidi with,skibidi
62,Dr Jilly husband best friend of Joey Biden that time was threanted by Joey pure evil and criminal Joey Biden,dr jilly husband best friend joey biden time threanted joey pure evil criminal joey biden
63,Trump is just the same slavering guy but America this is your 2 best guys . Change the system.  Take money out off politics its vile promises from big monetary interest groups.  We will do this we will do that nope nothing to help the ordinary man and woman.   Americans just wow this is rough,trump slavering guy america best guy change system take money politics vile promise big monetary interest group nope nothing help ordinary man woman american wow rough
64,Lord please help us! That’ is all I will say. God bless everyone reading this!🙏🏽🦋,lord please help u say god bless everyone reading
65,Lord please help us! That’ is all I will say. God bless everyone reading this!🙏🏽🦋,lord please help u say god bless everyone reading
66,"They created 15,000 jobs in a country of 300 million people... keep that to yourself..",created job country million people keep
67,Biden  Number 1  Starts of slightly coherently .<br>             Number  2  Starts to forgetting about number 1<br>             Number  3  Starts  to a complete word Salad  🥗 end with a mumbling.,biden number start slightly coherently number start forgetting number number start complete word salad end mumbling
68,The bills have went up everywhere in the west we need a peace deal in Ukraine 🇺🇦  and Russia 🇷🇺,bill went everywhere west need peace deal ukraine russia
69,Biden sounds foreign and looks like a robot.,biden sound foreign look robot
70,We paid into Social Security our whole working lives. No immigrant should get a penny of it or Medicare,paid social security whole working life immigrant get penny medicare
71,"I think President Biden shouldn&#39;t have been allowed to engage the debate, a bit of slurred speeches. Isn&#39;t it appropriate for someone to act in his place? Not very easy being an opposition to a prospective and eloquent president like Mr. Trump. I admire the courage of Joe Biden, he stood tall with valid points in my opinion.",think president biden allowed engage debate bit slurred speech appropriate someone act place easy opposition prospective eloquent president mr trump admire courage joe biden stood tall valid point opinion
72,Benjamin Netanyahu had warnings I&#39;m sure he knew something it&#39;s pretty obvious that what he is upto,benjamin netanyahu warning sure knew something pretty obvious upto
73,"Julius Malena said it best, you can have a platform to speak and say nothing, that is Mr Joe biden.",julius malena said best platform speak say nothing mr joe biden
74,Just rewatch this masterpiece again lol.,rewatch masterpiece lol
75,this video has 20 million views,video million view
76,I remember Trump planted 3 million trees around USA 🇺🇸nothing done from Bydins  gang exept for there pockets,remember trump planted million tree around usa nothing done bydins gang exept pocket
77,This debates was  fantastic they did well except the situation of Israel and Palestinian and Ukrainian no good answer rather then blaming each other,debate fantastic well except situation israel palestinian ukrainian good answer rather blaming
78,"looks like Biden needs a medic. sad he is even a choice... Trump is kind of a joke, but better then biden",look biden need medic sad even choice trump kind joke better biden
79,lol wow just wow Biden never should have been president and I voted for trump both times will be voting again for him watching this is just sad man Biden is so far gone it’s crazy man,lol wow wow biden never president voted trump time voting watching sad man biden far gone crazy man
80,If blacks dont vote for Joey Obiden they are not blacks  but wise,black vote joey obiden black wise
82,"What I’m seeing from Joe Biden so far after watching half of this “debate” is him mirroring Trump in the way he speaks lol… and constantly accusing him of being a liar with no real evidence to support how he’s lying…… so far this is a massive L for him. <br>Donald Trump is coming through with a far better argument even though I’m not siding with either of them because I think they’re both imbeciles in their own special way. <br>RIP America, was it nice knowing you ? No, not really but you were definitely something.",seeing joe biden far watching half debate mirroring trump way speaks lol constantly accusing liar real evidence support lying far massive l donald trump coming far better argument even though siding either think imbecile special way rip america nice knowing really definitely something
83,President Trump all the way 2024 🇺🇸 we pray that Byedin doesnt fall victim to Killery and Obumba scary times indeed 😉,president trump way pray byedin fall victim killery obumba scary time indeed
84,Good debate but Trump    had credible points indeed,good debate trump credible point indeed
85,Pure entertainment 😂🤣🤣🤣😂,pure entertainment
86,Byedins  real wife cursed Dr Jilly and Joey Byedin before she passed away for what they did to her pure evil 😈,byedins real wife cursed dr jilly joey byedin passed away pure evil
87,And also he dodges to his republican people who are saying its all hoax about climate change<br><br>The question about climate change that is. Thats what im talking here,also dodge republican people saying hoax climate changethe question climate change talking
88,"Why the eff is he numbering his answers 🤣🤣that shows poor presidencies....😭<br><a href=""http://www.youtube.com/results?search_query=%23vote4trump"">#vote4trump</a>🇺🇸❤",eff numbering answer show poor presidenciesvotetrump
89,so y’all get sleepy joe or orange caterpillar,get sleepy joe orange caterpillar
90,This debate makes it clear that the people who are really ruling the world are rubbing our faces in the fact that politics is now a complete joke and democracy is an illusion.,debate make clear people really ruling world rubbing face fact politics complete joke democracy illusion
91,Nobody trusts CNN,nobody trust cnn
92,They did everything they could to boost Biden and make Trump look bad. Biden still fumbled and bumbled throughout the entire debate...,everything could boost biden make trump look bad biden still fumbled bumbled throughout entire debate
93,"SNL doesn’t need to make a parody, the original is Gold enough 🤣",snl need make parody original gold enough
94,lol madness.,lol madness
95,nothing but lies,nothing lie
96,CNN is corupt and work with government..they knew of Biden failing.,cnn corupt work governmentthey knew biden failing
97,"Biden is embarrassing and Trump said an impressive amount of lies, great",biden embarrassing trump said impressive amount lie great
98,Its so obvious that Biden doesmt understand economy,obvious biden doesmt understand economy
99,Exactly the same battle that happened in 2020,exactly battle happened
100,"Joe Biden is the worst president in the twenty first century. <br><br>Crime has risen, inflation out of control, border&#39;s being overrun, leaving Americans and military equipment behind in Afghanistan, people loosing their jobs over vaccine mandates, Russian and China on the move, increased taxes across the board and many other issues that could have been prevented.",joe biden worst president twenty first century crime risen inflation control border overrun leaving american military equipment behind afghanistan people loosing job vaccine mandate russian china move increased tax across board many issue could prevented
101,Every time Biden speaks I have to turn on the subtitle 😂,every time biden speaks turn subtitle
102,Joey Byedin  cares for other nations but not Americans Byedin is a joke that make you broke and woke 😂😂😂😂,joey byedin care nation american byedin joke make broke woke
103,I am a foreigner and I do not live in USA. NOT EVEN IN AMERICA AT ALL. I ENJOY THIS!!!,foreigner live usa even america enjoy
104,"I think america is colapsing as rome did you are the president and jurnalist stops you in the middle of sentence how you can care, america will dye as rome its happening right now under obama and biden not mr President Kennedy",think america colapsing rome president jurnalist stop middle sentence care america dye rome happening right obama biden mr president kennedy
105,Debat senggol dong,debat senggol dong
106,Those two are not fit to president&#39;s 🤦,two fit president
107,"Trump said to biden:<br>I don’t know what he said and i don’t think he knows what he said either.<br>America The greatest country in the world have this kind of president for 4decades? Wowww, i respect. Nice good job america.",trump said bideni know said think know said eitheramerica greatest country world kind president decade wowww respect nice good job america
108,Who came here to laugh,came laugh
109,"President <br>Biden you should quit, you cannot menage this",president biden quit not menage
110,No new wars under Trump. Wars around the world under Biden. Indisputable fact. Exact opposite of what the tv told us.,new war trump war around world biden indisputable fact exact opposite tv told u
111,F&#39;s in chat America is cooked lol.,f chat america cooked lol
112,what about the kitchen table?,kitchen table
113,This is hilarious 🥲,hilarious
114,"Biden looks like the white version of Al Sharptongue. <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4940"">1:22:20</a>,",biden look white version al sharptongue
115,"Wait lol did he just say that in the 4 years he’s been president he’s only created 15,000 new jobs and then a further 800,000 manufacturing jobs 🤦🏼‍♀️🤣 in a country that has a population of roughly 300mil ???? <br>Of course there’s more to be done, you’ve done nothing.",wait lol say year president created new job manufacturing job country population roughly mil course done done nothing
116,"Someone that is in Joes mental state should not be allowed to be in any type of power, let alone the president of the United States.",someone joes mental state allowed type power let alone president united state
117,Biden should be thrown in prison for life.,biden thrown prison life
118,Joe has made the U.S. a laughing stock.,joe made yous laughing stock
119,I get why people are concerned for Biden&#39;s mental acuity; but I don&#39;t understand either why people see Trump as a strong candidate when he doesn&#39;t speak any more clearly than Biden? Help me understand please.,get people concerned bidens mental acuity understand either people see trump strong candidate speak clearly biden help understand please
120,"I’m not American. I’m your neighbor from up north. This debate is as bad, if not worse, than our politicians up here. Yikes!",american neighbor north debate bad worse politician yikes
121,Biden is such a Disgrace to Our Country get Rid of him,biden disgrace country get rid
122,The idea that joke biden is on stage debating w/ oldtimers instead of sleeping in a cellar is a bad idea.,idea joke biden stage debating w oldtimer instead sleeping cellar bad idea
123,"It&#39;s funny they are asking Trump about ending political violence, when he has just been the victim of such on the highest level, as Biden has indicted him just because he is his opponent in this election. Incredible.",funny asking trump ending political violence victim highest level biden indicted opponent election incredible
124,The more CNN makes it blatantly obvious that they&#39;re hand holding Biden throughout this whole thing and still bidens falling just adds more support for Trump always remember that,cnn make blatantly obvious hand holding biden throughout whole thing still bidens falling add support trump always remember
125,"YUP,YUP,YUP!!!!;Trump IS Right about all of this stuff except abortion, what woman wants there state to make her medicle decisions that should not be anyones bussiness!! So how do we get everything else fixed,( with trump)  but let go of our rights??!!. That&#39;s what is making me toss and turn ...",yupyupyuptrump right stuff except abortion woman want state make medicle decision anyones bussiness get everything else fixed trump let go right making toss turn
126,Biden voice is dying,biden voice dying
127,Yoo dont u guys have somebody else better for president? Seriously? 😂,yoo guy somebody else better president seriously
128,I&#39;ve no dog in this fight but crazy joe...has gotta go...,dog fight crazy joehas got go
129,Trump2024✅,trump
130,Can&#39;t someone mute this &quot;and by the way&quot; president? It is very heavy to listen to him.,not someone mute way president heavy listen
131,Painful to watch this circus 🎪,painful watch circus
132,Why do the presidents have to be on death&#39;s door tho?,president death door though
133,I&#39;m a veteran and I hate Biden,veteran hate biden
134,"What president Trump says is just common sense too.. I mean, let’s pretend for a second that the phenomenon of 3rd world nations emptying their prisons into the US isn’t well documented.. it is, but let’s pretend it’s not.. WHY WOULDN’T THEY DO THAT??? Biden told the world we’d let them in with no vetting. Of course they’re going to dump vast quantities of troubled individuals into our once great nation. Leaders in those countries would be crazy not to do that.",president trump say common sense mean let u pretend second phenomenon rd world nation emptying prison u well documented let u pretend would biden told world would let vetting course going dump vast quantity troubled individual great nation leader country would crazy
135,"Biden is not in Good health to run, needs to Retire.",biden good health run need retire
136,"People don&#39;t care about the national debt, they care about  the economy!!!!!",people care national debt care economy
137,Biden is a major Liar!!!!!!,biden major liar
138,The Old Man is delusional,old man delusional
139,Biden&#39;s faces from LA Noire give me nightmares,bidens face la noire give nightmare
140,Nigeria should learn from this,nigeria learn
141,I hate how neither of them answered too many questions but instead would continue their previous point,hate neither answered many question instead would continue previous point
142,&quot;...we beat medicaid!&quot;<br><br>I...didn&#39;t know we&#39;re fighting medicaid? I thought medicaid helped people but I guess I could be wrong. O.o,beat medicaididid know fighting medicaid thought medicaid helped people guess could wrong oo
143,Biden is very articulate and more than right about everything. I hope to God that Trump does not win. Biden 2024 all the way,biden articulate right everything hope god trump win biden way
144,Yup give them gas station swherws mine😂😂😂,yup give gas station swherws mine
145,I don&#39;t even know what biden says when he speaks.  All I hear is ta ta ta ta.  Thats who you people vote for to run our country.   It&#39;s insane,even know biden say speaks hear ta ta ta ta people vote run country insane
146,"This country is going to fall apart, this country needs Jesus",country going fall apart country need jesus
147,Definitely with trump tho,definitely trump though
148,"&quot;We had an economy in free fall.&quot;   If i remember correctly,  the stock market mooned with Trump as president and gas was extremely cheap.  You, Joe, are a disgrace.",economy free fall remember correctly stock market mooned trump president gas extremely cheap joe disgrace
149,Blue for crips red for bloods,blue crips red blood
150,id id been Biden id have faked a medical emergency and left the debate,id id biden id faked medical emergency left debate
151,They forgot to mention that all debate questions were written by the CIA/deep state since this debate was all planned and carried out under the umbrella of Operation Mockingbird.,forgot mention debate question written ciadeep state since debate planned carried umbrella operation mockingbird
152,"<a href=""http://www.youtube.com/results?search_query=%23trump24"">#Trump24</a> 🔥💯✊🏽💯🔥",trump
153,This debate should have been the last straw in your chance to wake up if you&#39;re still a leftist If you haven&#39;t woken up after this debate then you never will and you&#39;re a lost cause,debate last straw chance wake still leftist woken debate never lost
154,doesn&#39;t look like Joe Biden is it really him?,look joe biden really
155,"Prolly the world leaders stayed at other hotel before trump hotel was built in Washington DC, needs to be looked into a little further to find these Dems owned percentages of or was investors in the hotels these leaders stayed in before Trump and this is why they are all riled up and making a big deal out of these world leaders staying in the Trump hotel because they lost money. No doubt.",probably world leader stayed hotel trump hotel built washington dc need looked little find dems owned percentage investor hotel leader stayed trump riled making big deal world leader staying trump hotel lost money doubt
156,Det är pinsamt att USA med över 300 miljoner invånare inte kan få fram bättre kandidater för väldens mest viktiga jobb,det ar pinsamt att usa med miljoner invanare inte kan fa fram battre kandidater valdens mest viktiga jobb
157,TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP ❤❤❤❤❤,trump trump trump trump trump trump trump trump trump
158,"2 idiots on the mic, better 2 watch ALF!",idiot mic better watch alf
159,The questions are gaslite...<br>Yall have to remember politics is business money power bills etc ..LISTEN TO TRUMP that man smooth he know what he talking he is a business man and in business yes you win some and lose some but you LEARN ...most president&#39;s don&#39;t come from a business savy background that&#39;s why we always in debt smh,question gasliteyou remember politics business money power bill etc listen trump man smooth know talking business man business yes win lose learn president come business savy background always debt smh
160,Let&#39;s go Brandon!!! 😂😂😂<br>I come from Poland and I thought we were screwed.<br>Read the cement is the best i can do today 😅,let u go brandon come poland thought screwedread cement best today
161,Australia offers,australia offer
162,😡😡😡😡get him Trump !!!!!!! New York City stand up,get trump new york city stand
163,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1294"">21:34</a> Trump won the Debate from my perspective<br>😂😂😂😂😂",trump debate perspective
164,Watching two guys on the verge of their deathbed.. this is a comedy. Fall of our government began in last election and will continue with this election,watching two guy verge deathbed comedy fall government began last election continue election
165,Haven’t even watched it yet and I’m waiting to find out what YouTube edited out,even watched yet waiting find youtube edited
166,This debate has me stresssed 😩,debate stresssed
167,Biden should retire and do asmr<br>Trump just need to stop trying,biden retire asmrtrump need stop trying
168,They are so ooold...,ooold
169,&quot;There is no studio audience tonight&quot;<br><br>Biden walks out and starts waving and saying &quot;Hello&quot; to the Non Existent Audience.,studio audience tonightbiden walk start waving saying hello non existent audience
170,They raised my house taxes by three times.,raised house tax three time
171,If I had to choose I would vote trump,choose would vote trump
172,Joe “The Idea” Biden,joe idea biden
173,I can see the passion in Trump and how he speaks. His very soul is furious and for a REASON.,see passion trump speaks soul furious reason
174,Titan is dumping garbage on us in the skies. The snow is not snow. It&#39;s pellets of some kind of plastic. The They create in the storms they create with their mission. They&#39;ve got running. it&#39;s horrible.,titan dumping garbage u sky snow snow pellet kind plastic create storm create mission got running horrible
175,joey is dust,joey dust
176,The Democrats hired midnight guys to pull along and start wildfires. You can see the. videos on Youtube people posted it. They saw it democratic people. are paid to start wildfires.,democrat hired midnight guy pull along start wildfire see video youtube people posted saw democratic people paid start wildfire
177,"don&#39;t tell me I&#39;m the only one hearing that or my ears are failing me <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4583"">1:16:23</a>",tell one hearing ear failing
178,"No me imagino escuchar a trump otros 4 años, primero que vaya a cumplir sus escandalos como ciudadano, este hombre es el peor , racista, no queremos esto!!!!",imagino escuchar trump otros ano primero que vaya cumplir sus escandalos como ciudadano este hombre e el peor racista queremos esto
179,Only a Real American can Save America.,real american save america
180,We are all cooked.,cooked
181,any other options?,option
182,Take a shot every time Biden says “number 1”,take shot every time biden say number
183,"The tax credit that he&#39;s talking about, they took it from the seller, they took. it took it from the amount the seller got. He didn&#39;t pay nothing. They didn&#39;t give nothing. My daughter sold her house. Two new buyers. And they took $11,000 of her money out of her asking price.",tax credit talking took seller took took amount seller got pay nothing give nothing daughter sold house two new buyer took money asking price
184,If Biden was X-MAN his super power would be: no one could understand him nevermind how long he speaks.,biden xman super power would one could understand nevermind long speaks
185,Correct me if im wrong..but did they say there was no audience ...then Biden walked out raising his hand as if there there were an audience...or was that for the viewers...🤔🤔🤔,correct wrongbut say audience biden walked raising hand audienceor viewer
186,Interesting .... 🎉,interesting
187,Demented Trump: A Palestinian child’s shoes are more precious than yours,demented trump palestinian child shoe precious
189,No studio audiencr.,studio audiencr
190,Sleepy joe said I skibidi with,sleepy joe said skibidi
191,Most of those ppl support trump😂😂😂,people support trump
192,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1777"">29:37</a> somebody walks in front of bidens camera",somebody walk front bidens camera
193,I just bought 13 essential items from the grocery store and it cost me $84. How on earth does our government consider that “only a 20%” increase. This is more like a 100% increase!,bought essential item grocery store cost earth government consider increase increase
194,"YEA, BIDEN IS IN A &#39; CUSTARDS LAST STAND SITIUATION, AND YET, HE WONT APOLOGIZE TO ANYONE ABOUT ANYTHING.....",yea biden custard last stand sitiuation yet apologize anyone anything
195,did he ever answer the question about deportation or did he evade it,ever answer question deportation evade
196,FJB / DEMOCRAT.   they destroy our country Biden is a liar he said to the American people under his leadership no troops have lost  what is really sad he does not remember or Honor the 13 brave soldiers who lost their lives in Afghanistan and also left American Citizens behind,fjb democrat destroy country biden liar said american people leadership troop lost really sad remember honor brave soldier lost life afghanistan also left american citizen behind
197,"WHATS GOING ON IN THE WHITE HOUSE, ALOT OF DEODERIZER, I FEEL SORRY FOR HIS WIFE !!",going white house alot deoderizer feel sorry wife
198,biden need help call zelenskyy..,biden need help call zelenskyy
199,"BIDEN&#39;S FAMOUS LINE, &quot;&quot; I DON&#39;T CARE IF YOU THINK I&#39;M SATAN REINCARNATED...&quot;&quot;",bidens famous line care think satan reincarnated
200,It’s like talking to my grandmother with dementia. No idea what he is even trying to say. Put Biden in a home and make sure he’s looked after. At this point this is elder abuse and the people forcing him to run should be in prison,talking grandmother dementia idea even trying say put biden home make sure looked point elder abuse people forcing run prison
201,"OH BIDEN TALKS ABOUT, &quot; CHILD CARE&quot; AS ILL-LEAGALS GET FREE MEDICARE, SOCIAL SECURITY, FOOD DEBIT CARDS, HOUSING, MEDICAL, TRANSPORTATION, MILLIONS, AND ALLOWED TO BUY FIRE ARMS, AND PACKING IN DANGEROUS DRUGS, ETC.....",oh biden talk child care illleagals get free medicare social security food debit card housing medical transportation million allowed buy fire arm packing dangerous drug etc
202,Biden🤡🤡🤡,biden
203,&quot;I Have the beginning of 46 thoughts&quot;<br><br>-biden jim carrey,beginning thoughtsbiden jim carrey
204,Is anyone really supprised? Biden is suffering either from old age or dementia. Either way he’s got to go. Trump Train,anyone really supprised biden suffering either old age dementia either way got go trump train
205,In PA all the new workers are imagrants they where approved for work visa.,pa new worker imagrants approved work visa
206,Q: WOULD ANYONE TRUST BIDEN TO DRIVE A SCHOOL BUS ?,q would anyone trust biden drive school bus
207,This is actually a comedy,actually comedy
208,America&#39;s got a problem,america got problem
209,Nancy didn&#39;t think trump was that dumb to send the crowd,nancy think trump dumb send crowd
210,The jar building works trumps if you remember Trump was trying to dig this out and started creating the jobs. All the first stuff that was done when Biden got in was from contracts that Trump did.,jar building work trump remember trump trying dig started creating job first stuff done biden got contract trump
211,Exactly the same immigration situation as the UK. Something is definitely going on. It&#39;s literally identical.,exactly immigration situation uk something definitely going literally identical
212,The didn’t even answer the child care question…,even answer child care question
213,trump 2024,trump
214,"Fast forward to the august  conference ..Jill ....&#39;&#39;delegates, your choice is non negotiable and final.Joe remains the candidate and we loose in a landslide and you spend the resyt iof yiour days in folsom , or I am the candidate ...we win with  a landslide  . We keep the WH  , you keep your jobs and I become the most succesful president this counttry  has ever had !  And thank your lucky stars ! &#39;&#39;",fast forward august conference jill delegate choice non negotiable finaljoe remains candidate loose landslide spend resyt iof yiour day folsom candidate win landslide keep wh keep job become succesful president counttry ever thank lucky star
215,"If Biden wins again, the election is 100 per cent rigged. Im pretty sure the last one was to be honest.",biden win election per cent rigged pretty sure last one honest
216,Joe Biden for President,joe biden president
217,Is there no better candidate apart from Trump and Biden? It will be much better to engage young-minded youths in politics. 30 -60 years of age.,better candidate apart trump biden much better engage youngminded youth politics year age
218,I felt like Adam Sandler was was going to take the stage and say. &quot; Welcome to another Saturday Night alive!&quot;,felt adam sandler going take stage say welcome another saturday night alive
219,"The biggest thing to understand from this is that this is not a Biden issue. It is the entire Democrat party. After all, they are clearly the ones that have been driving this. Entire term into the ground. It&#39;s painfully obvious that biden is not in the driver seat. They are also the ones that have been lying to you about this man&#39;s mental. Fitness. And they are still lying to us. Don&#39;t be stupid enough to think that You can vote for a better democrat.",biggest thing understand biden issue entire democrat party clearly one driving entire term ground painfully obvious biden driver seat also one lying man mental fitness still lying u stupid enough think vote better democrat
220,Does Biden starma?,biden starma
221,Obama Bin Biden,obama bin biden
222,"I have never seen an old man that&#39;s so good at lying, why is everybody only talking about October the 7th,why can&#39;t people talk about what led to October the 7th",never seen old man good lying everybody talking october thwhy not people talk led october th
223,Americans help us vote Trump again,american help u vote trump
224,On president Biden first election I bet he will win and only a one time president! He should allow another Democrat run with Trump ! Otherwise! Sad😊,president biden first election bet win one time president allow another democrat run trump otherwise sad
225,"Biden walks out on stage, because of how used to giving speeches in n company of his close yes man circle he walks onto the stage hearing a roaring crowd chanting <br><br> Crowd- “4 more years, 4 more years” <br><br>Biden waves at the moderators and the crowd. The lights stop him from seeing the waves of people that aren’t actually present because he forgot there was no audience. <br><br><br> Biden- “thank you thank YOU”<br><br>As if he was capping off the audience volume. <br><br>If you watch his speeches you’ll notice the same Means of capping off the audience for a quick rebuttal. <br><br>Biden actually said even more but they cut off his mic",biden walk stage used giving speech n company close yes man circle walk onto stage hearing roaring crowd chanting crowd year year biden wave moderator crowd light stop seeing wave people actually present forgot audience biden thank thank youas capping audience volume watch speech notice mean capping audience quick rebuttal biden actually said even cut mic
226,I didn&#39;t like trump that much but I&#39;d rather vote for him than biden that much,trump much would rather vote biden much
